BIG,Fantasy Comedy - 1988
SPLASH,Romantic Comedy - 1984
DANGEROUS MINDS,Drama - 1995
ANNA AND THE KING,Romantic Drama - 1999
MAVERICK,Western Comedy - 1994
BUGSY MALONE,Musical - 1976
RUN LOLA RUN,War Drama - 1981
SPY GAME,Action Thriller - 2001
THE MEXICAN,Action Comedy - 2001
MEET JOE BLACK,Romantic Drama - 1998
KALIFORNIA,Crime Thriller - 1993
SERENDIPITY,Romantic Comedy - 2001
PUSHING TIN,Comedy - 1999
GREASE,Romantic Musical - 1978
THE THIN RED LINE,War Drama - 1998
CON AIR,Action Thriller - 1997
GROSSE POINTE BLANK,Romantic Comedy - 1997
SUPERMAN,Fantasy Adventure - 1978
ANALYZE THIS,Crime Comedy - 1999
RONIN,Crime Thriller - 1998
JACKIE BROWN,Crime Drama - 1997
WAG THE DOG,Comedy - 1997
COP LAND,Crime Thriller - 1997
HEAT,Crime Thriller - 1995
TOP GUN,Action Drama - 1986
THE BEACH,Adventure Drama - 2000
SNAKE EYES,Mystery Thriller - 1998
BIG DADDY,Comedy - 1999
BLACK RAIN,Action Drama - 1989
COYOTE UGLY,Romantic Comedy - 2000
SATURDAY NIGHT FEVER,Romantic Comedy - 1977
BOOGIE NIGHTS,Drama - 1997
THE KARATE KID,Drama - 1984
HOME ALONE,Family Comedy - 1990
THREE KINGS,War Comedy - 1999
BASIC INSTINCT,Mystery Thriller - 1992
SHOWGIRLS,Drama - 1995
JUDGE DREDD,Sci-Fi Action - 1995
A ROOM WITH A VIEW,Romantic Drama - 1986
BICENTENNIAL MAN,Sci-Fi Drama - 1999
JUMANJI,Fantasy Adventure - 1995
BEETHOVEN,Family Comedy - 1992
FLIGHT OF THE NAVIGATOR,Sci-Fi Adventure - 1986
THE NEVER ENDING STORY,Adventure Drama - 1984
THE LAST STARFIGHTER,Action Adventure - 1984
PRETTY WOMAN,Romantic Comedy - 1990
BARB WIRE,Action Sci-Fi - 1996
CLERKS,Comedy - 1994
DIRTY HARRY,Crime Thriller - 1971
CASINO,Crime Drama - 1995
